No,변수영문명,변수타입,변수명,변수 설명,비고
1,CUST_ID,N,고객ID ,고객을 구분하는 고유번호,비 식별화 조치 시행
2,POLY_NO,N,증권번호 ,청약서번호이면서 동시에 계약성립후에는 증권번호로 사용,비 식별화 조치 시행
3,ACCI_OCCP_GRP1,C,직업그룹코드1,총 8개직업군으로 분류한 코드(사고 당시),
4,ACCI_OCCP_GRP2,C,직업그룹코드2,총 25개직업군으로 분류한 코드(사고 당시),
5,CHANG_FP_YN,C,FP 변경 여부,모집 FP와 청구 당시 수금 FP 와의 동일 여부,
6,CNTT_RECP_SQNO,C,계약별접수일련번호 ,사고접수에 대해 해당 계약건별로 부여하는 번호,비 식별화 조치 시행
7,RECP_DATE,C,사고접수일자 ,사고가 접수된 일자,
8,ORIG_RESN_DATE,C,원사유일자 ,사고접수시 해당 사고의 최초 사유발생일자 ,
9,RESN_DATE,C,사유일자 ,보험금 지급사유 발생일자,
10,CRNT_PROG_DVSN,C,현재진행구분 ,"현재진행구분 상태 구분 
 - 접수(11), 심사배정(21), 심사(22), 심사결재(23), 조사(32), 조사결재(33)",
11,ACCI_DVSN,C,사고구분 ,"사고원인을 구분함
 - 재해(1), 교통재해(2), 질병(3)",
12,CAUS_CODE,C,원인코드 ,사고의 원인에 해당하는 사인코드 ,
13,CAUS_CODE_DTAL,C,원인코드상세 ,사고의 원인에 해당하는 사인코드_상세정보,
14,DSAS_NAME,C,병명,병명,
15,DMND_RESN_CODE,C,청구사유코드 ,"지급청구의 원인이 되는 사유코드  
 - 사망(01), 입원(02), 통원(03), 장해(04), 수술(05), 진단(06), 치료(07), 해지/무효(09)",
16,DMND_RSCD_SQNO,N,청구사유코드일련번호,"동일 증번, 동일한 청구사유이지만 사유일자가 다른 경우 일련번호를 1씩 증가시킴. ",
17,HOSP_OTPA_STDT,C,입원/통원시작일자 ,"입원시작일, 통원은 통원시작일 (입원은 무조건 연속된일자만 관리됨)",
18,HOSP_OTPA_ENDT,C,입원/통원종료일자 ,"입원종료일, 통원은 통원종료일  ",
19,RESL_CD1,C,결과코드1 ,사고원인에 대한 결과코드,
20,RESL_NM1,C,결과명1(사인내용) ,결과내용,
21,VLID_HOSP_OTDA,N,유효입원/통원일수 ,보험금지급대상인 입원일수 또는 통원일수  ,
22,HOUSE_HOSP_DIST,N,고객병원거리 ,고객 거주지와 병원까지의 거리(km),
23,HOSP_CODE,N,병원코드 ,병원코드,비 식별화 조치 시행
24,ACCI_HOSP_ADDR,C,병원지역(시도) ,병원지역,
25,HOSP_SPEC_DVSN,C,병원종별구분 ,"병원종별구분
 - 종합병원(10), 병원(20), 요양병원(25), 의원(30), 치과병원(40), 치과의원(45), 보건의료원(60), 
   약국(70), 한방병원(80), 한의원(85), 해외(90), 의료기관이외(95)",
26,CHME_LICE_NO,N,담당의사면허번호 ,의사면허번호,비 식별화 조치 시행
27,PAYM_DATE,C,지급일자 ,보험금 지급일자,
28,DMND_AMT,N,청구금액,사고보험금청구금액  ,
29,PAYM_AMT,N,지급금액(지급테이블) ,실지급금액  ,
30,PMMI_DLNG_YN,C,실손처리여부 ,실손처리여부,
31,SELF_CHAM,N,본인부담금 ,국민건강보험 적용 금액 중 환자 부담 금액,
32,NON_PAY,N,비급여 ,국민건강보험 미적용 금액,
33,TAMT_SFCA,N,전액본인부담금 ,국민건강보험 미적용 금액,
34,PATT_CHRG_TOTA,N,환자부담총액 ,본인부담금 + 비급여 + 전액본인부담금 ,
35,DSCT_AMT,N,영수할인금액 ,병원에서 할인해주는 비용,
36,COUNT_TRMT_ITEM,N,진료과목개수,실손영수증 내 진료과목의 개수,
37,NON_PAY_RATIO,N,실손비급여비율,(비급여 + 전액본인부담금) / (환자부담총액) = (비급여 + 전액본인부담금) / (본인부담금 + 비급여 + 전액본인부담금),
38,HEED_HOSP_YN,C,유의병원여부 ,금감원 유의 병원 대상 여부,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
